Participant,AgeGroup,L1Speak,L1understand,L1write,L1read,L2Speak,L2understand,L2write,L2read,UseChild,UseAdult,DailySwitch,ConvSwitch,SentSwitch
25,Older,10,10,10,10,7,7,3,7,5,4.9375,1,5,5
27,Older,10,10,10,10,9,10,8,10,5,4.466666667,1,2,2
28,Older,10,10,10,10,3,2,3,3,4,4.866666667,2,1,1
29,Older,10,10,10,10,4,5,2,2,5,4.9375,1,1,1
30,Older,10,10,10,10,9,9,8,9,5,3.466666667,4,6,5
31,Older,10,10,10,10,8,6,4,5,4.5,4.846153846,2,3,2
33,Older,10,10,10,10,7,8,4,9,4.25,4.5,2,5,3
34,Older,10,10,10,10,5,5,6,8,4.5,4.6,1,2,2
35,Older,10,10,10,10,6,3,3,7,4.75,4.8,2,1,1
36,Older,10,10,10,10,6,9,6,7,3.75,5,1,4,1
37,Older,10,10,10,10,8,8,7,8,4,4.625,2,2,2
38,Older,10,10,10,10,5,6,4,6,4.5,4.533333333,3,1,1
40,Older,10,10,10,10,4,8,4,8,4,4.866666667,1,1,1
41,Older,10,10,10,10,8,8,8,8,4.5,4.75,2,4,2
42,Older,10,10,10,10,8,9,7,8,4.25,4,3,2,1
44,Older,10,10,10,10,5,6,6,6,4.5,4.0625,2,5,2
46,Older,10,10,10,10,9,9,9,9,4,3.125,5,4,2
48,Older,10,10,10,10,8,6,7,8,4.5,4.6875,2,5,3
49,Older,10,10,10,10,4,4,6,7,5,4.375,3,5,6
50,Older,10,10,10,10,5,4,5,7,4.5,5,1,1,1
51,Older,10,10,10,10,5,6,5,6,5,3.5625,5,6,7
52,Older,10,10,10,10,8,7,7,8,4,4.9375,3,4,3
54,Older,10,10,10,10,8,8,5,7,4,4.733333333,1,4,4
59,Older,10,10,10,10,6,7,4,5,4.5,4.8125,2,4,4
60,Older,10,10,10,10,5,5,5,5,5,4.9375,2,2,2
62,Older,10,10,10,10,8,8,6,8,4.75,4.125,5,3,5
66,Older,10,10,10,10,9,10,9,10,4.5,3.8125,5,3,3
69,Older,10,10,10,10,7,8,6,9,5,4.125,2,7,7
70,Older,10,10,10,10,7,8,7,9,4.75,4.266666667,2,2,1
72,Older,10,10,10,10,10,10,10,10,1.5,3.9375,2,3,2
74,Older,10,10,10,10,5,8,2,9,4.5,4.9375,1,1,1
76,Older,10,10,10,10,9,10,9,10,4.5,3,7,6,5
78,Older,10,10,9,10,6,9,5,9,5,4.625,4,2,1
