"","participant","Language","SpecificLanguage","Response","Trial","Trialtype","accuracy","rt","Agegroup","Item","Context","accuracy01","Language_coded","Agegroup_coded","rawrt","condition"
"2",1,"L2","French","couteau",2,"nonswitch",1,7.46227237637255,"Younger","knife","Dual",1,0.5,-0.5,1741.1,"1nonswitchL2"
"7",1,"L2","French","avion",7,"nonswitch",1,6.82001636467413,"Younger","plane","Dual",1,0.5,-0.5,916,"1nonswitchL2"
"10",1,"L2","French","gateau",10,"nonswitch",1,7.4599147662411,"Younger","cake","Dual",1,0.5,-0.5,1737,"1nonswitchL2"
"13",1,"L2","French","journal",13,"nonswitch",1,6.90143535023732,"Younger","newspaper","Dual",1,0.5,-0.5,993.7,"1nonswitchL2"
"15",1,"L2","French","dents",17,"nonswitch",1,6.88561191429645,"Younger","teeth","Dual",1,0.5,-0.5,978.1,"1nonswitchL2"
"16",1,"L2","French","stylo",18,"nonswitch",1,6.86422127695841,"Younger","pen","Dual",1,0.5,-0.5,957.4,"1nonswitchL2"
"24",1,"L2","French","savon",28,"nonswitch",1,6.92667516383465,"Younger","soap","Dual",1,0.5,-0.5,1019.1,"1nonswitchL2"
"28",1,"L2","French","tasse",32,"nonswitch",1,6.92520219258586,"Younger","cup","Dual",1,0.5,-0.5,1017.6,"1nonswitchL2"
"35",1,"L2","French","cheval",39,"nonswitch",1,7.20452097016696,"Younger","horse","Dual",1,0.5,-0.5,1345.5,"1nonswitchL2"
"36",1,"L2","French","couteau",40,"nonswitch",1,7.23525884562059,"Younger","knife","Dual",1,0.5,-0.5,1387.5,"1nonswitchL2"
"43",1,"L2","French","bougie",48,"nonswitch",1,6.9432189432577,"Younger","candle","Dual",1,0.5,-0.5,1036.1,"1nonswitchL2"
"46",1,"L2","French","coupe",51,"nonswitch",1,7.3985414474104,"Younger","trophy","Dual",1,0.5,-0.5,1633.6,"1nonswitchL2"
"51",1,"L2","French","fraise",56,"nonswitch",1,7.26919883499597,"Younger","strawberry","Dual",1,0.5,-0.5,1435.4,"1nonswitchL2"
"57",1,"L2","French","oeil",62,"nonswitch",1,7.31754435857036,"Younger","eye","Dual",1,0.5,-0.5,1506.5,"1nonswitchL2"
"58",1,"L2","French","balai",63,"nonswitch",1,7.38622298664,"Younger","broom","Dual",1,0.5,-0.5,1613.6,"1nonswitchL2"
"59",1,"L2","French","cerveau",64,"nonswitch",1,7.03129946507359,"Younger","brain","Dual",1,0.5,-0.5,1131.5,"1nonswitchL2"
"68",1,"L2","French","manteau",75,"nonswitch",1,7.2627688435942,"Younger","coat","Dual",1,0.5,-0.5,1426.2,"1nonswitchL2"
"72",1,"L2","French","échelle",79,"nonswitch",1,7.22322273744185,"Younger","ladder","Dual",1,0.5,-0.5,1370.9,"1nonswitchL2"
"74",1,"L2","French","journal",82,"nonswitch",1,6.83744010506711,"Younger","newspaper","Dual",1,0.5,-0.5,932.1,"1nonswitchL2"
"82",1,"L2","French","manteau",90,"nonswitch",1,7.13409372119287,"Younger","coat","Dual",1,0.5,-0.5,1254,"1nonswitchL2"
"85",1,"L2","French","jouet",93,"nonswitch",1,7.25297486007502,"Younger","toy","Dual",1,0.5,-0.5,1412.3,"1nonswitchL2"
"89",1,"L2","French","valise",97,"nonswitch",1,7.12897698473365,"Younger","suitcase","Dual",1,0.5,-0.5,1247.6,"1nonswitchL2"
"90",1,"L2","French","cheval",98,"nonswitch",1,6.9370227766627,"Younger","horse","Dual",1,0.5,-0.5,1029.7,"1nonswitchL2"
"98",1,"L2","French","valise",108,"nonswitch",1,7.30545699647247,"Younger","suitcase","Dual",1,0.5,-0.5,1488.4,"1nonswitchL2"
"102",1,"L2","French","coupe",112,"nonswitch",1,7.17158001490335,"Younger","trophy","Dual",1,0.5,-0.5,1301.9,"1nonswitchL2"
"109",1,"L2","French","balai",119,"nonswitch",1,7.19997703147595,"Younger","broom","Dual",1,0.5,-0.5,1339.4,"1nonswitchL2"
"110",1,"L2","French","gateau",120,"nonswitch",1,7.19278383396835,"Younger","cake","Dual",1,0.5,-0.5,1329.8,"1nonswitchL2"
"117",1,"L2","French","fraise",128,"nonswitch",1,6.93371538065167,"Younger","strawberry","Dual",1,0.5,-0.5,1026.3,"1nonswitchL2"
"120",1,"L2","French","jouet",131,"nonswitch",1,7.43891280172005,"Younger","toy","Dual",1,0.5,-0.5,1700.9,"1nonswitchL2"
"125",1,"L2","French","cadeau",136,"nonswitch",1,7.1574239092357,"Younger","present","Dual",1,0.5,-0.5,1283.6,"1nonswitchL2"
"131",1,"L2","French","échelle",142,"nonswitch",1,7.1590585960902,"Younger","ladder","Dual",1,0.5,-0.5,1285.7,"1nonswitchL2"
"132",1,"L2","French","stylo",143,"nonswitch",1,6.69542802010178,"Younger","pen","Dual",1,0.5,-0.5,808.7,"1nonswitchL2"
"133",1,"L2","French","tasse",144,"nonswitch",1,7.01822273200811,"Younger","cup","Dual",1,0.5,-0.5,1116.8,"1nonswitchL2"
"136",1,"L2","French","avion",147,"nonswitch",1,6.80738230483535,"Younger","plane","Dual",1,0.5,-0.5,904.5,"1nonswitchL2"
"137",1,"L2","French","bougie",148,"nonswitch",1,6.89790694292732,"Younger","candle","Dual",1,0.5,-0.5,990.2,"1nonswitchL2"
"144",1,"L2","French","oeil",155,"nonswitch",1,7.21428363923028,"Younger","eye","Dual",1,0.5,-0.5,1358.7,"1nonswitchL2"
"148",1,"L2","French","dents",159,"nonswitch",1,6.89385917379003,"Younger","teeth","Dual",1,0.5,-0.5,986.2,"1nonswitchL2"
"3",1,"L1","English","coat",3,"switch",1,7.26696700257284,"Younger","coat","Dual",1,-0.5,-0.5,1432.2,"1switchL1"
"8",1,"L1","English","knife",8,"switch",1,7.07106389659416,"Younger","knife","Dual",1,-0.5,-0.5,1177.4,"1switchL1"
"11",1,"L1","English","teeth",11,"switch",1,7.15148546390474,"Younger","teeth","Dual",1,-0.5,-0.5,1276,"1switchL1"
"14",1,"L1","English","candle",14,"switch",1,7.09738341095853,"Younger","candle","Dual",1,-0.5,-0.5,1208.8,"1switchL1"
"17",1,"L1","English","cup",19,"switch",1,7.23864050873457,"Younger","cup","Dual",1,-0.5,-0.5,1392.2,"1switchL1"
"25",1,"L1","English","ladder",29,"switch",1,6.93779940033051,"Younger","ladder","Dual",1,-0.5,-0.5,1030.5,"1switchL1"
"29",1,"L1","English","pen",33,"switch",1,7.07326971745971,"Younger","pen","Dual",1,-0.5,-0.5,1180,"1switchL1"
"31",1,"L1","English","soap",35,"switch",1,6.99539978883418,"Younger","soap","Dual",1,-0.5,-0.5,1091.6,"1switchL1"
"39",1,"L1","English","plane",44,"switch",1,7.39578299407212,"Younger","plane","Dual",1,-0.5,-0.5,1629.1,"1switchL1"
"44",1,"L1","English","horse",49,"switch",1,6.89507522582476,"Younger","horse","Dual",1,-0.5,-0.5,987.4,"1switchL1"
"47",1,"L1","English","strawberry",52,"switch",1,7.1660342870646,"Younger","strawberry","Dual",1,-0.5,-0.5,1294.7,"1switchL1"
"52",1,"L1","English","present",57,"switch",1,7.19413650570087,"Younger","present","Dual",1,-0.5,-0.5,1331.6,"1switchL1"
"54",1,"L1","English","brain",59,"switch",1,7.15195557282196,"Younger","brain","Dual",1,-0.5,-0.5,1276.6,"1switchL1"
"60",1,"L1","English","toy",65,"switch",1,7.21096615305154,"Younger","toy","Dual",1,-0.5,-0.5,1354.2,"1switchL1"
"62",1,"L1","English","broom",69,"switch",1,7.31648172979267,"Younger","broom","Dual",1,-0.5,-0.5,1504.9,"1switchL1"
"65",1,"L1","English","newspaper",72,"switch",1,7.00206495845288,"Younger","newspaper","Dual",1,-0.5,-0.5,1098.9,"1switchL1"
"69",1,"L1","English","eye",76,"switch",1,7.0472563177597,"Younger","eye","Dual",1,-0.5,-0.5,1149.7,"1switchL1"
"73",1,"L1","English","trophy",80,"switch",1,7.11963563801764,"Younger","trophy","Dual",1,-0.5,-0.5,1236,"1switchL1"
"75",1,"L1","English","suitcase",83,"switch",1,7.19338524730779,"Younger","suitcase","Dual",1,-0.5,-0.5,1330.6,"1switchL1"
"80",1,"L1","English","broom",88,"switch",1,6.71889237414476,"Younger","broom","Dual",1,-0.5,-0.5,827.9,"1switchL1"
"83",1,"L1","English","pen",91,"switch",1,7.13910506684345,"Younger","pen","Dual",1,-0.5,-0.5,1260.3,"1switchL1"
"86",1,"L1","English","brain",94,"switch",1,6.97194999102413,"Younger","brain","Dual",1,-0.5,-0.5,1066.3,"1switchL1"
"93",1,"L1","English","coat",103,"switch",1,7.08439405264059,"Younger","coat","Dual",1,-0.5,-0.5,1193.2,"1switchL1"
"99",1,"L1","English","trophy",109,"switch",1,7.51768388079115,"Younger","trophy","Dual",1,-0.5,-0.5,1840.3,"1switchL1"
"103",1,"L1","English","knife",113,"switch",1,7.0404488207076,"Younger","knife","Dual",1,-0.5,-0.5,1141.9,"1switchL1"
"105",1,"L1","English","ladder",115,"switch",1,6.78694265876539,"Younger","ladder","Dual",1,-0.5,-0.5,886.2,"1switchL1"
"113",1,"L1","English","cup",124,"switch",1,7.27717861574304,"Younger","cup","Dual",1,-0.5,-0.5,1446.9,"1switchL1"
"118",1,"L1","English","toy",129,"switch",1,7.06595489365568,"Younger","toy","Dual",1,-0.5,-0.5,1171.4,"1switchL1"
"121",1,"L1","English","soap",132,"switch",1,7.07080906541843,"Younger","soap","Dual",1,-0.5,-0.5,1177.1,"1switchL1"
"126",1,"L1","English","teeth",137,"switch",1,7.07216741523252,"Younger","teeth","Dual",1,-0.5,-0.5,1178.7,"1switchL1"
"128",1,"L1","English","newspaper",139,"switch",1,7.27648724403408,"Younger","newspaper","Dual",1,-0.5,-0.5,1445.9,"1switchL1"
"134",1,"L1","English","strawberry",145,"switch",1,7.02161953513118,"Younger","strawberry","Dual",1,-0.5,-0.5,1120.6,"1switchL1"
"138",1,"L1","English","horse",149,"switch",1,7.00723855746709,"Younger","horse","Dual",1,-0.5,-0.5,1104.6,"1switchL1"
"141",1,"L1","English","cake",152,"switch",1,7.09323849911367,"Younger","cake","Dual",1,-0.5,-0.5,1203.8,"1switchL1"
"145",1,"L1","English","plane",156,"switch",1,7.03535662357586,"Younger","plane","Dual",1,-0.5,-0.5,1136.1,"1switchL1"
"149",1,"L1","English","eye",160,"switch",1,7.11045119502724,"Younger","eye","Dual",1,-0.5,-0.5,1224.7,"1switchL1"
"4",1,"L1","English","trophy",4,"nonswitch",1,7.09862354174456,"Younger","trophy","Dual",1,-0.5,-0.5,1210.3,"1nonswitchL1"
"5",1,"L1","English","candle",5,"nonswitch",1,7.37462901521894,"Younger","candle","Dual",1,-0.5,-0.5,1595,"1nonswitchL1"
"20",1,"L1","English","teeth",24,"nonswitch",1,6.98536425830912,"Younger","teeth","Dual",1,-0.5,-0.5,1080.7,"1nonswitchL1"
"21",1,"L1","English","cup",25,"nonswitch",1,6.99622392696975,"Younger","cup","Dual",1,-0.5,-0.5,1092.5,"1nonswitchL1"
"22",1,"L1","English","strawberry",26,"nonswitch",1,6.86807846182924,"Younger","strawberry","Dual",1,-0.5,-0.5,961.1,"1nonswitchL1"
"26",1,"L1","English","soap",30,"nonswitch",1,7.05038267723189,"Younger","soap","Dual",1,-0.5,-0.5,1153.3,"1nonswitchL1"
"32",1,"L1","English","horse",36,"nonswitch",1,7.11175678476798,"Younger","horse","Dual",1,-0.5,-0.5,1226.3,"1nonswitchL1"
"33",1,"L1","English","toy",37,"nonswitch",1,7.10233473317159,"Younger","toy","Dual",1,-0.5,-0.5,1214.8,"1nonswitchL1"
"37",1,"L1","English","coat",42,"nonswitch",1,6.99987856785794,"Younger","coat","Dual",1,-0.5,-0.5,1096.5,"1nonswitchL1"
"40",1,"L1","English","eye",45,"nonswitch",1,7.10422625888051,"Younger","eye","Dual",1,-0.5,-0.5,1217.1,"1nonswitchL1"
"41",1,"L1","English","pen",46,"nonswitch",1,7.17050408488871,"Younger","pen","Dual",1,-0.5,-0.5,1300.5,"1nonswitchL1"
"48",1,"L1","English","plane",53,"nonswitch",1,7.1596806317218,"Younger","plane","Dual",1,-0.5,-0.5,1286.5,"1nonswitchL1"
"49",1,"L1","English","newspaper",54,"nonswitch",1,7.27337014249034,"Younger","newspaper","Dual",1,-0.5,-0.5,1441.4,"1nonswitchL1"
"55",1,"L1","English","ladder",60,"nonswitch",1,6.97746789139344,"Younger","ladder","Dual",1,-0.5,-0.5,1072.2,"1nonswitchL1"
"63",1,"L1","English","present",70,"nonswitch",1,7.12504171081195,"Younger","present","Dual",1,-0.5,-0.5,1242.7,"1nonswitchL1"
"66",1,"L1","English","suitcase",73,"nonswitch",1,7.12181772156015,"Younger","suitcase","Dual",1,-0.5,-0.5,1238.7,"1nonswitchL1"
"70",1,"L1","English","broom",77,"nonswitch",1,6.9483212407288,"Younger","broom","Dual",1,-0.5,-0.5,1041.4,"1nonswitchL1"
"76",1,"L1","English","coat",84,"nonswitch",1,7.33706711356458,"Younger","coat","Dual",1,-0.5,-0.5,1536.2,"1nonswitchL1"
"77",1,"L1","English","cup",85,"nonswitch",1,7.33778290991855,"Younger","cup","Dual",1,-0.5,-0.5,1537.3,"1nonswitchL1"
"87",1,"L1","English","teeth",95,"nonswitch",1,7.06339057051359,"Younger","teeth","Dual",1,-0.5,-0.5,1168.4,"1nonswitchL1"
"91",1,"L1","English","strawberry",101,"nonswitch",1,6.90143535023732,"Younger","strawberry","Dual",1,-0.5,-0.5,993.7,"1nonswitchL1"
"94",1,"L1","English","plane",104,"nonswitch",1,6.9925558806746,"Younger","plane","Dual",1,-0.5,-0.5,1088.5,"1nonswitchL1"
"95",1,"L1","English","eye",105,"nonswitch",1,7.3834302954651,"Younger","eye","Dual",1,-0.5,-0.5,1609.1,"1nonswitchL1"
"96",1,"L1","English","candle",106,"nonswitch",1,7.12310856482128,"Younger","candle","Dual",1,-0.5,-0.5,1240.3,"1nonswitchL1"
"106",1,"L1","English","brain",116,"nonswitch",1,7.1078348906978,"Younger","brain","Dual",1,-0.5,-0.5,1221.5,"1nonswitchL1"
"107",1,"L1","English","cake",117,"nonswitch",1,7.01553287115557,"Younger","cake","Dual",1,-0.5,-0.5,1113.8,"1nonswitchL1"
"114",1,"L1","English","pen",125,"nonswitch",1,6.90815519900346,"Younger","pen","Dual",1,-0.5,-0.5,1000.4,"1nonswitchL1"
"115",1,"L1","English","toy",126,"nonswitch",1,7.41721997710879,"Younger","toy","Dual",1,-0.5,-0.5,1664.4,"1nonswitchL1"
"122",1,"L1","English","knife",133,"nonswitch",1,7.03271251838652,"Younger","knife","Dual",1,-0.5,-0.5,1133.1,"1nonswitchL1"
"123",1,"L1","English","trophy",134,"nonswitch",1,7.08481300610099,"Younger","trophy","Dual",1,-0.5,-0.5,1193.7,"1nonswitchL1"
"129",1,"L1","English","horse",140,"nonswitch",1,7.07479397891157,"Younger","horse","Dual",1,-0.5,-0.5,1181.8,"1nonswitchL1"
"139",1,"L1","English","soap",150,"nonswitch",1,6.93264299448992,"Younger","soap","Dual",1,-0.5,-0.5,1025.2,"1nonswitchL1"
"142",1,"L1","English","suitcase",153,"nonswitch",1,7.2949885254955,"Younger","suitcase","Dual",1,-0.5,-0.5,1472.9,"1nonswitchL1"
"146",1,"L1","English","present",157,"nonswitch",1,7.187883895779,"Younger","present","Dual",1,-0.5,-0.5,1323.3,"1nonswitchL1"
"6",1,"L2","French","jouet",6,"switch",1,6.96847401401684,"Younger","toy","Dual",1,0.5,-0.5,1062.6,"1switchL2"
"9",1,"L2","French","tasse",9,"switch",1,6.970072585047,"Younger","cup","Dual",1,0.5,-0.5,1064.3,"1switchL2"
"12",1,"L2","French","échelle",12,"switch",1,7.25700270709207,"Younger","ladder","Dual",1,0.5,-0.5,1418,"1switchL2"
"18",1,"L2","French","cerveau",22,"switch",1,6.87181717217651,"Younger","brain","Dual",1,0.5,-0.5,964.7,"1switchL2"
"23",1,"L2","French","stylo",27,"switch",1,6.73506717115642,"Younger","pen","Dual",1,0.5,-0.5,841.4,"1switchL2"
"27",1,"L2","French","fraise",31,"switch",1,7.11428152447291,"Younger","strawberry","Dual",1,0.5,-0.5,1229.4,"1switchL2"
"30",1,"L2","French","valise",34,"switch",1,7.35410637956264,"Younger","suitcase","Dual",1,0.5,-0.5,1562.6,"1switchL2"
"38",1,"L2","French","cheval",43,"switch",1,6.95129358099662,"Younger","horse","Dual",1,0.5,-0.5,1044.5,"1switchL2"
"42",1,"L2","French","savon",47,"switch",1,6.94080313302834,"Younger","soap","Dual",1,0.5,-0.5,1033.6,"1switchL2"
"45",1,"L2","French","cadeau",50,"switch",1,7.49181277695438,"Younger","present","Dual",1,0.5,-0.5,1793.3,"1switchL2"
"50",1,"L2","French","bougie",55,"switch",1,6.9931987607996,"Younger","candle","Dual",1,0.5,-0.5,1089.2,"1switchL2"
"53",1,"L2","French","avion",58,"switch",1,6.83582953941055,"Younger","plane","Dual",1,0.5,-0.5,930.6,"1switchL2"
"56",1,"L2","French","manteau",61,"switch",1,7.05652005224725,"Younger","coat","Dual",1,0.5,-0.5,1160.4,"1switchL2"
"61",1,"L2","French","dents",66,"switch",1,6.89345349427128,"Younger","teeth","Dual",1,0.5,-0.5,985.8,"1switchL2"
"64",1,"L2","French","coupe",71,"switch",1,7.13473147631652,"Younger","trophy","Dual",1,0.5,-0.5,1254.8,"1switchL2"
"67",1,"L2","French","couteau",74,"switch",1,7.23605132431917,"Younger","knife","Dual",1,0.5,-0.5,1388.6,"1switchL2"
"71",1,"L2","French","journal",78,"switch",1,6.9945749709347,"Younger","newspaper","Dual",1,0.5,-0.5,1090.7,"1switchL2"
"78",1,"L2","French","stylo",86,"switch",1,6.76619171466035,"Younger","pen","Dual",1,0.5,-0.5,868,"1switchL2"
"81",1,"L2","French","dents",89,"switch",1,6.88469133938359,"Younger","teeth","Dual",1,0.5,-0.5,977.2,"1switchL2"
"84",1,"L2","French","tasse",92,"switch",1,7.20325670048605,"Younger","cup","Dual",1,0.5,-0.5,1343.8,"1switchL2"
"88",1,"L2","French","coupe",96,"switch",1,7.17349844391516,"Younger","trophy","Dual",1,0.5,-0.5,1304.4,"1switchL2"
"92",1,"L2","French","échelle",102,"switch",1,7.04385836197448,"Younger","ladder","Dual",1,0.5,-0.5,1145.8,"1switchL2"
"97",1,"L2","French","manteau",107,"switch",1,7.099284316527,"Younger","coat","Dual",1,0.5,-0.5,1211.1,"1switchL2"
"101",1,"L2","French","cadeau",111,"switch",1,7.74118600498914,"Younger","present","Dual",1,0.5,-0.5,2301.2,"1switchL2"
"104",1,"L2","French","journal",114,"switch",1,6.83947643822884,"Younger","newspaper","Dual",1,0.5,-0.5,934,"1switchL2"
"108",1,"L2","French","valise",118,"switch",1,7.07665381544395,"Younger","suitcase","Dual",1,0.5,-0.5,1184,"1switchL2"
"112",1,"L2","French","fraise",123,"switch",1,7.1547715947079,"Younger","strawberry","Dual",1,0.5,-0.5,1280.2,"1switchL2"
