participant,Language,SpecificLanguage,Response,Trial,Trialtype,accuracy,rt,Agegroup,Item,Context,accuracy01
1,L2,French,cadeau,67,nonswitch,0,X,Younger,present,Dual,0
1,L2,French,couteau,2,nonswitch,1,1741.1,Younger,knife,Dual,1
1,L1,English,coat,3,switch,1,1432.2,Younger,coat,Dual,1
1,L1,English,trophy,4,nonswitch,1,1210.3,Younger,trophy,Dual,1
1,L1,English,candle,5,nonswitch,1,1595,Younger,candle,Dual,1
1,L2,French,jouet,6,switch,1,1062.6,Younger,toy,Dual,1
1,L2,French,avion,7,nonswitch,1,916,Younger,plane,Dual,1
1,L1,English,knife,8,switch,1,1177.4,Younger,knife,Dual,1
1,L2,French,tasse,9,switch,1,1064.3,Younger,cup,Dual,1
1,L2,French,gateau,10,nonswitch,1,1737,Younger,cake,Dual,1
1,L1,English,teeth,11,switch,1,1276,Younger,teeth,Dual,1
1,L2,French,échelle,12,switch,1,1418,Younger,ladder,Dual,1
1,L2,French,journal,13,nonswitch,1,993.7,Younger,newspaper,Dual,1
1,L1,English,candle,14,switch,1,1208.8,Younger,candle,Dual,1
1,L2,French,dents,17,nonswitch,1,978.1,Younger,teeth,Dual,1
1,L2,French,stylo,18,nonswitch,1,957.4,Younger,pen,Dual,1
1,L1,English,cup,19,switch,1,1392.2,Younger,cup,Dual,1
1,L2,French,cerveau,22,switch,1,964.7,Younger,brain,Dual,1
1,L1,English,suitcase,23,switch,1,1983.4,Younger,suitcase,Dual,1
1,L1,English,teeth,24,nonswitch,1,1080.7,Younger,teeth,Dual,1
1,L1,English,cup,25,nonswitch,1,1092.5,Younger,cup,Dual,1
1,L1,English,strawberry,26,nonswitch,1,961.1,Younger,strawberry,Dual,1
1,L2,French,stylo,27,switch,1,841.4,Younger,pen,Dual,1
1,L2,French,savon,28,nonswitch,1,1019.1,Younger,soap,Dual,1
1,L1,English,ladder,29,switch,1,1030.5,Younger,ladder,Dual,1
1,L1,English,soap,30,nonswitch,1,1153.3,Younger,soap,Dual,1
1,L2,French,fraise,31,switch,1,1229.4,Younger,strawberry,Dual,1
1,L2,French,tasse,32,nonswitch,1,1017.6,Younger,cup,Dual,1
1,L1,English,pen,33,switch,1,1180,Younger,pen,Dual,1
1,L2,French,valise,34,switch,1,1562.6,Younger,suitcase,Dual,1
1,L1,English,soap,35,switch,1,1091.6,Younger,soap,Dual,1
1,L1,English,horse,36,nonswitch,1,1226.3,Younger,horse,Dual,1
1,L1,English,toy,37,nonswitch,1,1214.8,Younger,toy,Dual,1
1,L2,French,balai,38,switch,1,2635,Younger,broom,Dual,1
1,L2,French,cheval,39,nonswitch,1,1345.5,Younger,horse,Dual,1
