participant,Item,Rule,Response,Trial,TrialType,accuracy,rt,Agegroup,Context,accuracy01
30,broom,OBJECT,broom,1,SingleNaming,0,X,Older,Single,0
54,brain,ACTION,think,1,SingleNaming,0,X,Older,Single,0
77,teeth,ACTION,brush,1,SingleNaming,0,X,Younger,Single,0
83,brain,ACTION,think,1,SingleNaming,0,X,Older,Single,0
87,brain,ACTION,think,1,SingleNaming,0,X,Younger,Single,0
100,knife,ACTION,cut,2,nonswitch,0,X,Older,Dual,0
5,horse,ACTION,ride,2,SingleNaming,0,X,Younger,Single,0
5,ladder,OBJECT,ladder,2,SingleNaming,0,X,Younger,Single,0
15,strawberry,ACTION,eat,2,SingleNaming,0,X,Younger,Single,0
17,ladder,OBJECT,ladder,2,SingleNaming,0,X,Younger,Single,0
20,strawberry,ACTION,eat,2,SingleNaming,0,X,Younger,Single,0
39,candle,OBJECT,candle,2,SingleNaming,0,X,Younger,Single,0
46,candle,OBJECT,candle,2,SingleNaming,0,X,Older,Single,0
54,ladder,OBJECT,ladder,2,SingleNaming,0,X,Older,Single,0
67,horse,ACTION,ride,2,SingleNaming,0,X,Younger,Single,0
83,horse,ACTION,ride,2,SingleNaming,0,X,Older,Single,0
91,candle,OBJECT,candle,2,SingleNaming,0,X,Older,Single,0
7,horse,OBJECT,horse,3,switch,0,X,Younger,Dual,0
54,horse,OBJECT,horse,3,switch,0,X,Older,Dual,0
16,eye,ACTION,see,3,SingleNaming,0,X,Younger,Single,0
28,suitcase,OBJECT,suitcase,3,SingleNaming,0,X,Older,Single,0
29,eye,ACTION,see,3,SingleNaming,0,X,Older,Single,0
30,coat,OBJECT,coat,3,SingleNaming,0,X,Older,Single,0
35,eye,ACTION,see,3,SingleNaming,0,X,Older,Single,0
83,eye,ACTION,see,3,SingleNaming,0,X,Older,Single,0
86,trophy,OBJECT,trophy,4,nonswitch,0,X,Older,Dual,0
12,broom,ACTION,sweep,4,SingleNaming,0,X,Younger,Single,0
50,horse,OBJECT,horse,4,SingleNaming,0,X,Older,Single,0
83,broom,ACTION,sweep,4,SingleNaming,0,X,Older,Single,0
5,suitcase,OBJECT,suitcase,5,nonswitch,0,X,Younger,Dual,0
25,soap,OBJECT,soap,5,SingleNaming,0,X,Older,Single,0
28,soap,OBJECT,soap,5,SingleNaming,0,X,Older,Single,0
54,coat,ACTION,wear,5,SingleNaming,0,X,Older,Single,0
83,coat,ACTION,wear,5,SingleNaming,0,X,Older,Single,0
91,soap,OBJECT,soap,5,SingleNaming,0,X,Older,Single,0
100,soap,OBJECT,soap,5,SingleNaming,0,X,Older,Single,0
48,toy,ACTION,play,6,switch,0,X,Older,Dual,0
54,ladder,ACTION,climb,6,switch,0,X,Older,Dual,0
5,soap,ACTION,wash,6,SingleNaming,0,X,Younger,Single,0
13,soap,ACTION,wash,6,SingleNaming,0,X,Younger,Single,0
23,pen,OBJECT,pen,6,SingleNaming,0,X,Younger,Single,0
23,present,ACTION,give,6,SingleNaming,0,X,Younger,Single,0
29,soap,ACTION,wash,6,SingleNaming,0,X,Older,Single,0
83,soap,ACTION,wash,6,SingleNaming,0,X,Older,Single,0
96,pen,OBJECT,pen,6,SingleNaming,0,X,Older,Single,0
15,plane,ACTION,fly,7,nonswitch,0,X,Younger,Dual,0
23,newspaper,OBJECT,newspaper,7,SingleNaming,0,X,Younger,Single,0
29,soap,OBJECT,soap,7,SingleNaming,0,X,Older,Single,0
34,soap,OBJECT,soap,7,SingleNaming,0,X,Older,Single,0
83,toy,ACTION,play,7,SingleNaming,0,X,Older,Single,0
23,cup,OBJECT,cup,8,SingleNaming,0,X,Younger,Single,0
54,eye,OBJECT,eye,8,SingleNaming,0,X,Older,Single,0
1,cup,ACTION,drink,9,switch,0,X,Younger,Dual,0
5,teeth,ACTION,brush,9,switch,0,X,Younger,Dual,0
8,teeth,ACTION,brush,9,switch,0,X,Younger,Dual,0
16,teeth,ACTION,brush,9,switch,0,X,Younger,Dual,0
22,teeth,ACTION,brush,9,switch,0,X,Younger,Dual,0
46,cup,ACTION,drink,9,switch,0,X,Older,Dual,0
47,teeth,ACTION,brush,9,switch,0,X,Younger,Dual,0
91,cup,ACTION,drink,9,switch,0,X,Older,Dual,0
5,present,OBJECT,present,9,SingleNaming,0,X,Younger,Single,0
28,pen,ACTION,write,9,SingleNaming,0,X,Older,Single,0
5,soap,OBJECT,soap,10,switch,0,X,Younger,Dual,0
