Participant,EnglishLextale,L2Lextale,AgeGroup
25,95,86.25,Older
28,100,55,Older
29,100,53.57142857,Older
30,98.75,95.53571429,Older
31,100,51.78571429,Older
33,90,57.14285714,Older
34,97.5,47.32142857,Older
35,98.75,70,Older
36,97.5,62.5,Older
37,96.25,58.03571429,Older
38,95,76.78571429,Older
40,95,76.25,Older
41,97.5,73.21428571,Older
42,100,63.39285714,Older
44,90,58.03571429,Older
48,97.5,54.46428571,Older
49,97.5,49.10714286,Older
50,80,50,Older
51,100,50.89285714,Older
52,90,49.10714286,Older
54,90,55.35714286,Older
60,93.75,51.78571429,Older
62,97.5,45.53571429,Older
69,92.5,67.85714286,Older
72,76.25,65.17857143,Older
74,67.5,53.57142857,Older
76,97.5,89.28571429,Older
78,95,65.17857143,Older
79,98.75,61.60714286,Older
80,97.5,45.53571429,Older
81,100,61.25,Older
83,97.5,68.75,Older
84,91.25,77.5,Older
86,95,75,Older
90,97.5,46.42857143,Older
91,97.5,56.25,Older
92,97.5,71.42857143,Older
93,100,83.75,Older
94,100,53.57142857,Older
95,100,57.5,Older
96,100,83.75,Older
98,97.5,62.5,Older
99,100,58.92857143,Older
100,97.5,75.89285714,Older
27,100,80.35714286,Older
46,95,78.57142857,Older
59,100,67.85714286,Older
66,100,78.57142857,Older
70,100,79.46428571,Older
85,97.5,35.71428571,Older
1,81.25,75,Younger
2,85,46.42857143,Younger
3,80,53.57142857,Younger
4,95,57.5,Younger
5,50,50,Younger
6,95,50,Younger
7,92.5,57.14285714,Younger
8,86.25,71.25,Younger
9,72.5,58.92857143,Younger
10,92.5,44.64285714,Younger
11,83.75,51.78571429,Younger
12,85,71.25,Younger
13,85,46.42857143,Younger
14,87.5,56.25,Younger
15,93.75,75,Younger
16,73.75,65,Younger
17,81.25,52.5,Younger
18,91.25,62.5,Younger
19,91.25,46.42857143,Younger
20,93.75,59.82142857,Younger
21,96.25,52.5,Younger
22,65,50.89285714,Younger
23,98.75,70.53571429,Younger
24,87.5,62.5,Younger
26,95,57.5,Younger
32,96.25,59.82142857,Younger
39,100,90,Younger
43,96.25,75,Younger
45,96.25,63.75,Younger
47,82.5,55,Younger
53,93.75,56.25,Younger
55,93.75,53.57142857,Younger
56,98.75,75.89285714,Younger
57,96.25,63.39285714,Younger
58,90,67.85714286,Younger
61,97.5,65.17857143,Younger
63,98.75,52.67857143,Younger
64,100,47.32142857,Younger
65,96.25,88.75,Younger
67,80,53.57142857,Younger
68,82.5,60.71428571,Younger
71,97.5,71.25,Younger
73,97.5,63.75,Younger
75,80,40.17857143,Younger
77,85,52.5,Younger
82,88.75,75,Younger
87,97.5,46.42857143,Younger
88,92.5,53.57142857,Younger
89,100,60.71428571,Younger
97,75,49.10714286,Younger
