participant,Image,Rule,CorrectResponse,Trialnr,TrialType,Context,accuracy,rt,AgeGroup,accuracy01
1,pen.png,ACTION,write,9,SingleNaming,SingleB,1,765.7,Older,1
1,bell.png,ACTION,ring,19,SingleNaming,SingleB,1,819.7,Older,1
1,bell.png,ACTION,ring,24,SingleNaming,SingleA,1,821.8,Older,1
1,ladder.png,ACTION,climb,15,SingleNaming,SingleB,1,823.7,Older,1
1,pipe.png,ACTION,smoke,159,nonswitch,Dual,1,834.6,Older,1
1,dart.png,ACTION,throw,4,SingleNaming,SingleB,1,835.1,Older,1
1,football.png,ACTION,kick,8,SingleNaming,SingleB,1,844.5,Older,1
1,bed.png,ACTION,sleep,18,SingleNaming,SingleB,1,852.5,Older,1
1,chair.png,ACTION,sit,23,SingleNaming,SingleA,1,864.9,Older,1
1,glass.png,ACTION,drink,34,SingleNaming,SingleA,1,868.3,Older,1
1,glass.png,ACTION,drink,14,SingleNaming,SingleB,1,869.8,Older,1
1,chair.png,ACTION,sit,3,SingleNaming,SingleB,1,879.4,Older,1
1,pipe.png,ACTION,smoke,1,SingleNaming,SingleB,1,880.5,Older,1
1,razor.png,ACTION,shave,67,nonswitch,Dual,1,899.8,Older,1
1,pool.png,ACTION,swim,11,SingleNaming,SingleB,1,901.4,Older,1
1,car.png,ACTION,drive,12,SingleNaming,SingleB,1,912,Older,1
1,razor.png,ACTION,shave,39,SingleNaming,SingleA,1,924,Older,1
1,scissors.png,ACTION,cut,10,SingleNaming,SingleB,1,926.4,Older,1
1,bed.png,ACTION,sleep,82,nonswitch,Dual,1,930.3,Older,1
1,bed.png,ACTION,sleep,38,SingleNaming,SingleA,1,933.5,Older,1
1,ladder.png,ACTION,climb,142,nonswitch,Dual,1,941.8,Older,1
1,pen.png,ACTION,write,29,SingleNaming,SingleA,1,951.1,Older,1
1,book.png,ACTION,read,37,SingleNaming,SingleA,1,952.9,Older,1
1,football.png,ACTION,kick,151,switch,Dual,1,954.9,Older,1
1,dart.png,ACTION,throw,36,SingleNaming,SingleA,1,955.4,Older,1
1,needle.png,ACTION,sew,21,SingleNaming,SingleA,1,972.2,Older,1
