"","participant","Item","Rule","Response","Trial","TrialType","accuracy","rt","Agegroup","Context","accuracy01","Rule_coded","Agegroup_coded","rawrt","condition"
"644",1,"broom","OBJECT","broom",1,"SingleNaming",1,6.86034915658487,"Younger","Single",1,-0.5,-0.5,953.7,"1SingleNamingOBJECT"
"934",1,"candle","OBJECT","candle",2,"SingleNaming",1,7.75065777962692,"Younger","Single",1,-0.5,-0.5,2323.1,"1SingleNamingOBJECT"
"1197",1,"suitcase","OBJECT","suitcase",3,"SingleNaming",1,7.16224244657628,"Younger","Single",1,-0.5,-0.5,1289.8,"1SingleNamingOBJECT"
"1471",1,"horse","OBJECT","horse",4,"SingleNaming",1,7.42821435171637,"Younger","Single",1,-0.5,-0.5,1682.8,"1SingleNamingOBJECT"
"1746",1,"soap","OBJECT","soap",5,"SingleNaming",1,7.0119350978918,"Younger","Single",1,-0.5,-0.5,1109.8,"1SingleNamingOBJECT"
"2022",1,"pen","OBJECT","pen",6,"SingleNaming",1,7.61982234439459,"Younger","Single",1,-0.5,-0.5,2038.2,"1SingleNamingOBJECT"
"2297",1,"newspaper","OBJECT","newspaper",7,"SingleNaming",1,7.27073033546935,"Younger","Single",1,-0.5,-0.5,1437.6,"1SingleNamingOBJECT"
"2579",1,"cup","OBJECT","cup",8,"SingleNaming",1,7.31867216576855,"Younger","Single",1,-0.5,-0.5,1508.2,"1SingleNamingOBJECT"
"2851",1,"knife","OBJECT","knife",9,"SingleNaming",1,7.23432146948388,"Younger","Single",1,-0.5,-0.5,1386.2,"1SingleNamingOBJECT"
"3107",1,"coat","OBJECT","coat",10,"SingleNaming",1,7.13401397319649,"Younger","Single",1,-0.5,-0.5,1253.9,"1SingleNamingOBJECT"
"3371",1,"strawberry","OBJECT","strawberry",11,"SingleNaming",1,7.03447603176129,"Younger","Single",1,-0.5,-0.5,1135.1,"1SingleNamingOBJECT"
"3638",1,"trophy","OBJECT","trophy",12,"SingleNaming",1,7.12028267783316,"Younger","Single",1,-0.5,-0.5,1236.8,"1SingleNamingOBJECT"
"3908",1,"eye","OBJECT","eye",13,"SingleNaming",1,7.29770057543226,"Younger","Single",1,-0.5,-0.5,1476.9,"1SingleNamingOBJECT"
"4190",1,"cake","OBJECT","cake",14,"SingleNaming",1,7.33119127241154,"Younger","Single",1,-0.5,-0.5,1527.2,"1SingleNamingOBJECT"
