participant,rt,accuracy,item,task,control,AgeGroup
1,1987.5,1,ham,Colour,cong,Younger
1,2903.5,1,blood,Colour,cong,Younger
1,1756.2,1,broccoli,Colour,cong,Younger
1,2056.3,1,hammer,Size,cong,Younger
1,2419.6,1,orange,Size,cong,Younger
1,3219.2,1,mouth,Size,cong,Younger
1,4321,1,coffee,Colour,cong,Younger
1,2359.5,1,ketchup,Colour,cong,Younger
1,1793.5,1,rhino,Colour,cong,Younger
1,1921.8,1,wasp,Size,cong,Younger
1,2368.7,1,goose,Size,cong,Younger
1,1678.1,1,donkey,Size,cong,Younger
1,1840.6,1,sunflower,Colour,cong,Younger
1,8689.8,1,gin,Colour,cong,Younger
1,1850.8,1,grass,Colour,cong,Younger
1,3411.8,1,window,Size,cong,Younger
1,3199.5,1,pen,Size,cong,Younger
1,2785.1,1,mop,Size,cong,Younger
1,3342.7,1,snow,Colour,cong,Younger
1,4313.7,1,butter,Colour,cong,Younger
1,2326.4,1,oregano,Colour,cong,Younger
1,2006.9,1,fork,Size,cong,Younger
1,2094,1,doctor,Size,cong,Younger
1,2905,1,dancer,Size,cong,Younger
1,2739,1,rice,Colour,incon,Younger
1,4906.4,1,tar,Colour,incon,Younger
1,2867.5,0,trumpet,Colour,incon,Younger
1,2231.3,1,diary,Size,incon,Younger
1,4369.9,1,gun,Size,incon,Younger
1,4036.9,1,football,Size,incon,Younger
1,1445.4,0,cranberry,Colour,incon,Younger
1,3198,1,cloud,Colour,incon,Younger
1,5307.4,0,chalk,Colour,incon,Younger
1,2540.3,1,handbag,Size,incon,Younger
1,3593.3,1,cup,Size,incon,Younger
1,4239.1,0,tribe,Size,incon,Younger
1,3436.2,1,highlighter,Colour,incon,Younger
1,3482.6,0,paper,Colour,incon,Younger
1,2613.4,1,lion,Colour,incon,Younger
1,2316.6,0,pencil,Size,incon,Younger
1,3858.4,1,theatre,Size,incon,Younger
1,115.3,0,lighter,Size,incon,Younger
1,3762.2,1,blackboard,Colour,incon,Younger
1,4613.6,1,bread,Colour,incon,Younger
1,4370.9,0,dove,Colour,incon,Younger
1,2819.7,1,stool,Size,incon,Younger
1,2450.3,1,chair,Size,incon,Younger
1,3997.5,1,box,Size,incon,Younger
2,1687.54,1,ham,Colour,cong,Younger
2,1091.905,1,blood,Colour,cong,Younger
2,1558.21,1,broccoli,Colour,cong,Younger
2,2826.44,1,hammer,Size,cong,Younger
2,1600.77,1,orange,Size,cong,Younger
2,4106.485,1,mouth,Size,cong,Younger
2,1243.91,1,coffee,Colour,cong,Younger
2,1893.66,1,ketchup,Colour,cong,Younger
2,2068.515,1,rhino,Colour,cong,Younger
2,1612.755,1,wasp,Size,cong,Younger
2,1477.585,1,goose,Size,cong,Younger
2,1513.725,1,donkey,Size,cong,Younger
2,1853.475,1,sunflower,Colour,cong,Younger
2,1221.32,1,gin,Colour,cong,Younger
2,2073.855,1,grass,Colour,cong,Younger
2,2809.33,1,window,Size,cong,Younger
2,1677.155,1,pen,Size,cong,Younger
2,2365.605,1,mop,Size,cong,Younger
2,1886.625,1,snow,Colour,cong,Younger
2,2192.205,1,butter,Colour,cong,Younger
2,2400.975,1,oregano,Colour,cong,Younger
2,1925.525,1,fork,Size,cong,Younger
2,1978.645,1,doctor,Size,cong,Younger
2,2264.065,1,dancer,Size,cong,Younger
2,1245.88,0,rice,Colour,incon,Younger
2,1402.57,0,tar,Colour,incon,Younger
2,1379.67,0,trumpet,Colour,incon,Younger
2,4274.185,1,diary,Size,incon,Younger
2,3360.945,1,gun,Size,incon,Younger
2,2385.685,1,football,Size,incon,Younger
2,3494.03,1,cranberry,Colour,incon,Younger
2,2210.15,1,cloud,Colour,incon,Younger
2,1692.735,1,chalk,Colour,incon,Younger
2,2562.165,1,handbag,Size,incon,Younger
2,2800.985,1,cup,Size,incon,Younger
2,2148.535,1,tribe,Size,incon,Younger
2,2307.565,0,highlighter,Colour,incon,Younger
2,1651.08,0,paper,Colour,incon,Younger
2,1788.535,0,lion,Colour,incon,Younger
2,2849.63,0,pencil,Size,incon,Younger
2,2870.205,1,theatre,Size,incon,Younger
2,2473.42,1,lighter,Size,incon,Younger
2,2546.73,1,blackboard,Colour,incon,Younger
2,2366.03,1,bread,Colour,incon,Younger
2,3245.87,1,dove,Colour,incon,Younger
2,2488.745,1,stool,Size,incon,Younger
2,2951.905,1,chair,Size,incon,Younger
2,6173.49,1,box,Size,incon,Younger
3,1608.9,1,ham,Colour,cong,Younger
3,3149.7,1,blood,Colour,cong,Younger
3,1622.4,1,broccoli,Colour,cong,Younger
3,2670.8,1,hammer,Size,cong,Younger
3,1835.3,1,orange,Size,cong,Younger
3,2574.6,1,mouth,Size,cong,Younger
3,1906,1,coffee,Colour,cong,Younger
3,704.4,0,ketchup,Colour,cong,Younger
3,4523.1,1,rhino,Colour,cong,Younger
3,1364.6,1,wasp,Size,cong,Younger
3,3745,1,goose,Size,cong,Younger
3,1755.2,1,donkey,Size,cong,Younger
3,3000,1,sunflower,Colour,cong,Younger
3,4170.3,1,gin,Colour,cong,Younger
3,2595.7,1,grass,Colour,cong,Younger
3,2825.2,1,window,Size,cong,Younger
3,1749.9,1,pen,Size,cong,Younger
3,2079.8,1,mop,Size,cong,Younger
3,1835.4,1,snow,Colour,cong,Younger
3,4540,1,butter,Colour,cong,Younger
3,1799.1,1,oregano,Colour,cong,Younger
3,2695.5,1,fork,Size,cong,Younger
3,7735.6,1,doctor,Size,cong,Younger
3,3459.4,1,dancer,Size,cong,Younger
3,2386.1,1,rice,Colour,incon,Younger
3,2802.6,1,tar,Colour,incon,Younger
3,2888.1,1,trumpet,Colour,incon,Younger
3,3149.2,1,diary,Size,incon,Younger
3,2427.7,1,gun,Size,incon,Younger
3,2977.3,1,football,Size,incon,Younger
3,3521.4,1,cranberry,Colour,incon,Younger
3,2327.5,1,cloud,Colour,incon,Younger
3,3164.6,1,chalk,Colour,incon,Younger
3,1779,1,handbag,Size,incon,Younger
3,1286.7,0,cup,Size,incon,Younger
3,3972.3,1,tribe,Size,incon,Younger
3,5415.4,1,highlighter,Colour,incon,Younger
3,10173,0,paper,Colour,incon,Younger
3,6180,1,lion,Colour,incon,Younger
3,2256,0,pencil,Size,incon,Younger
3,3065.9,1,theatre,Size,incon,Younger
3,2010.1,0,lighter,Size,incon,Younger
3,5045.4,1,blackboard,Colour,incon,Younger
3,5570.5,1,bread,Colour,incon,Younger
3,2191.8,1,dove,Colour,incon,Younger
3,3267.9,0,stool,Size,incon,Younger
3,2348.5,1,chair,Size,incon,Younger
3,2716.4,1,box,Size,incon,Younger
4,2539.8,1,ham,Colour,cong,Younger
4,2708.7,1,blood,Colour,cong,Younger
4,1695.4,1,broccoli,Colour,cong,Younger
4,5173.8,0,hammer,Size,cong,Younger
4,1459.7,1,orange,Size,cong,Younger
4,2904.5,1,mouth,Size,cong,Younger
4,3576.1,1,coffee,Colour,cong,Younger
4,1663.5,1,ketchup,Colour,cong,Younger
4,3910.7,1,rhino,Colour,cong,Younger
4,1655.6,1,wasp,Size,cong,Younger
4,3115,1,goose,Size,cong,Younger
4,3141.6,1,donkey,Size,cong,Younger
4,7740,1,sunflower,Colour,cong,Younger
4,5001.3,1,gin,Colour,cong,Younger
4,8418.5,1,grass,Colour,cong,Younger
4,3469.4,1,window,Size,cong,Younger
4,3614.7,1,pen,Size,cong,Younger
4,2249.6,1,mop,Size,cong,Younger
4,3419.2,1,snow,Colour,cong,Younger
4,3839.7,1,butter,Colour,cong,Younger
4,3076.2,1,oregano,Colour,cong,Younger
4,2594.4,1,fork,Size,cong,Younger
4,3552.7,1,doctor,Size,cong,Younger
4,2212.1,1,dancer,Size,cong,Younger
4,2985.7,1,rice,Colour,incon,Younger
4,3051,1,tar,Colour,incon,Younger
4,3565.3,1,trumpet,Colour,incon,Younger
4,2774.1,1,diary,Size,incon,Younger
4,3378.6,1,gun,Size,incon,Younger
4,5466.1,1,football,Size,incon,Younger
4,2824.4,1,cranberry,Colour,incon,Younger
4,2268.5,1,cloud,Colour,incon,Younger
4,5496.4,1,chalk,Colour,incon,Younger
4,2929.9,1,handbag,Size,incon,Younger
4,4292.1,1,cup,Size,incon,Younger
4,6056.7,0,tribe,Size,incon,Younger
4,3926.3,1,highlighter,Colour,incon,Younger
4,3746.7,1,paper,Colour,incon,Younger
4,10888.6,1,lion,Colour,incon,Younger
4,3134.3,1,pencil,Size,incon,Younger
4,5644.1,1,theatre,Size,incon,Younger
4,3264,1,lighter,Size,incon,Younger
4,3526.2,1,blackboard,Colour,incon,Younger
4,9776.2,1,bread,Colour,incon,Younger
4,10147.3,1,dove,Colour,incon,Younger
4,3566.2,1,stool,Size,incon,Younger
4,4873.2,1,chair,Size,incon,Younger
4,3573.1,1,box,Size,incon,Younger
5,1204.4,1,ham,Colour,cong,Younger
5,1071.3,1,blood,Colour,cong,Younger
5,1403.6,1,broccoli,Colour,cong,Younger
5,2204.1,0,hammer,Size,cong,Younger
5,1536.6,1,orange,Size,cong,Younger
5,1404.1,1,mouth,Size,cong,Younger
5,1703.8,1,coffee,Colour,cong,Younger
5,1871.4,1,ketchup,Colour,cong,Younger
5,1221,1,rhino,Colour,cong,Younger
5,1104.6,1,wasp,Size,cong,Younger
5,1704.4,1,goose,Size,cong,Younger
5,1487.5,1,donkey,Size,cong,Younger
5,1555.5,1,sunflower,Colour,cong,Younger
