"","participant","rt","accuracy","item","task","control","AgeGroup","rawrt","condition"
"1",1,7.59463284652849,1,"ham","Colour","cong","Younger",1987.5,"1cong"
"2",1,7.9736721848121,1,"blood","Colour","cong","Younger",2903.5,"1cong"
"3",1,7.4709076629259,1,"broccoli","Colour","cong","Younger",1756.2,"1cong"
"4",1,7.62866353032747,1,"hammer","Size","cong","Younger",2056.3,"1cong"
"5",1,7.79135751623276,1,"orange","Size","cong","Younger",2419.6,"1cong"
"6",1,8.07688816046537,1,"mouth","Size","cong","Younger",3219.2,"1cong"
"7",1,8.37124213593193,1,"coffee","Colour","cong","Younger",4321,"1cong"
"8",1,7.76620501116644,1,"ketchup","Colour","cong","Younger",2359.5,"1cong"
"9",1,7.49192429697234,1,"rhino","Colour","cong","Younger",1793.5,"1cong"
"10",1,7.56101752584317,1,"wasp","Size","cong","Younger",1921.8,"1cong"
"11",1,7.77009656042854,1,"goose","Size","cong","Younger",2368.7,"1cong"
"12",1,7.42541748000712,1,"donkey","Size","cong","Younger",1678.1,"1cong"
"13",1,7.51784688440476,1,"sunflower","Colour","cong","Younger",1840.6,"1cong"
"15",1,7.52337325703284,1,"grass","Colour","cong","Younger",1850.8,"1cong"
"16",1,8.13499529024642,1,"window","Size","cong","Younger",3411.8,"1cong"
"17",1,8.07074982657952,1,"pen","Size","cong","Younger",3199.5,"1cong"
"18",1,7.93203905835948,1,"mop","Size","cong","Younger",2785.1,"1cong"
"19",1,8.11453414263853,1,"snow","Colour","cong","Younger",3342.7,"1cong"
"20",1,8.3695512835018,1,"butter","Colour","cong","Younger",4313.7,"1cong"
"21",1,7.7520772873392,1,"oregano","Colour","cong","Younger",2326.4,"1cong"
"22",1,7.60434652194464,1,"fork","Size","cong","Younger",2006.9,"1cong"
"23",1,7.64683139143048,1,"doctor","Size","cong","Younger",2094,"1cong"
"24",1,7.97418866928601,1,"dancer","Size","cong","Younger",2905,"1cong"
"25",1,7.91534816926308,1,"rice","Colour","incon","Younger",2739,"1incon"
"26",1,8.49829575431177,1,"tar","Colour","incon","Younger",4906.4,"1incon"
"28",1,7.71033965424046,1,"diary","Size","incon","Younger",2231.3,"1incon"
"29",1,8.38249540453261,1,"gun","Size","incon","Younger",4369.9,"1incon"
"30",1,8.30323234967668,1,"football","Size","incon","Younger",4036.9,"1incon"
"32",1,8.0702808933939,1,"cloud","Colour","incon","Younger",3198,"1incon"
"34",1,7.84003746327434,1,"handbag","Size","incon","Younger",2540.3,"1incon"
"35",1,8.186826279314,1,"cup","Size","incon","Younger",3593.3,"1incon"
"37",1,8.14212148862787,1,"highlighter","Colour","incon","Younger",3436.2,"1incon"
"39",1,7.86840733455505,1,"lion","Colour","incon","Younger",2613.4,"1incon"
"41",1,8.25800786875476,1,"theatre","Size","incon","Younger",3858.4,"1incon"
"43",1,8.23275917165892,1,"blackboard","Colour","incon","Younger",3762.2,"1incon"
"44",1,8.4367637423012,1,"bread","Colour","incon","Younger",4613.6,"1incon"
"46",1,7.94438577529437,1,"stool","Size","incon","Younger",2819.7,"1incon"
"47",1,7.8039657450221,1,"chair","Size","incon","Younger",2450.3,"1incon"
"48",1,8.29342444470811,1,"box","Size","incon","Younger",3997.5,"1incon"
"49",2,7.43102712616946,1,"ham","Colour","cong","Younger",1687.54,"2cong"
"50",2,6.99567915618345,1,"blood","Colour","cong","Younger",1091.905,"2cong"
"51",2,7.35129300553757,1,"broccoli","Colour","cong","Younger",1558.21,"2cong"
"52",2,7.94677324822331,1,"hammer","Size","cong","Younger",2826.44,"2cong"
"53",2,7.37824004246423,1,"orange","Size","cong","Younger",1600.77,"2cong"
"55",2,7.12601492341505,1,"coffee","Colour","cong","Younger",1243.91,"2cong"
"56",2,7.54626674337587,1,"ketchup","Colour","cong","Younger",1893.66,"2cong"
"57",2,7.63458623750679,1,"rhino","Colour","cong","Younger",2068.515,"2cong"
"58",2,7.38569917570207,1,"wasp","Size","cong","Younger",1612.755,"2cong"
"59",2,7.29816427723632,1,"goose","Size","cong","Younger",1477.585,"2cong"
"60",2,7.32232877945429,1,"donkey","Size","cong","Younger",1513.725,"2cong"
"61",2,7.52481753450414,1,"sunflower","Colour","cong","Younger",1853.475,"2cong"
"62",2,7.10768752003575,1,"gin","Colour","cong","Younger",1221.32,"2cong"
"63",2,7.63716447313424,1,"grass","Colour","cong","Younger",2073.855,"2cong"
"64",2,7.94070129973415,1,"window","Size","cong","Younger",2809.33,"2cong"
"65",2,7.42485418450499,1,"pen","Size","cong","Younger",1677.155,"2cong"
"66",2,7.76878908216471,1,"mop","Size","cong","Younger",2365.605,"2cong"
"67",2,7.54254479747959,1,"snow","Colour","cong","Younger",1886.625,"2cong"
"68",2,7.69266316559282,1,"butter","Colour","cong","Younger",2192.205,"2cong"
"69",2,7.78363018383885,1,"oregano","Colour","cong","Younger",2400.975,"2cong"
"70",2,7.56295393681129,1,"fork","Size","cong","Younger",1925.525,"2cong"
"71",2,7.59016754598438,1,"doctor","Size","cong","Younger",1978.645,"2cong"
"72",2,7.72491714915829,1,"dancer","Size","cong","Younger",2264.065,"2cong"
"76",2,8.36034871992127,1,"diary","Size","incon","Younger",4274.185,"2incon"
"77",2,8.11997746341388,1,"gun","Size","incon","Younger",3360.945,"2incon"
"78",2,7.77724157382509,1,"football","Size","incon","Younger",2385.685,"2incon"
