Task,participant,item,rule,Difficulty,TrialType,accuracy,rt,AgeGroup,rawrt
Bilingual,37,knife,L2,low,nonswitch,1,6.526201991,Older,682.8
Bilingual,37,plane,L2,low,nonswitch,1,6.857198555,Older,950.7
Bilingual,37,newspaper,L2,low,nonswitch,1,7.14076995,Older,1262.4
Bilingual,37,teeth,L2,low,nonswitch,1,6.855724871,Older,949.3
Bilingual,37,pen,L2,low,nonswitch,1,6.860454006,Older,953.8
Bilingual,37,soap,L2,low,nonswitch,1,6.950910549,Older,1044.1
Bilingual,37,strawberry,L2,low,nonswitch,1,6.821761566,Older,917.6
Bilingual,37,broom,L2,low,nonswitch,1,6.718771579,Older,827.8
Bilingual,37,brain,L2,low,nonswitch,1,7.149995326,Older,1274.1
Bilingual,37,present,L2,low,nonswitch,1,6.581470969,Older,721.6
Bilingual,37,brain,L2,low,nonswitch,1,6.88397475,Older,976.5
Bilingual,37,coat,L2,low,nonswitch,1,6.988228663,Older,1083.8
Bilingual,37,ladder,L2,low,nonswitch,1,6.72287044,Older,831.2
Bilingual,37,newspaper,L2,low,nonswitch,1,6.949376954,Older,1042.5
Bilingual,37,soap,L2,low,nonswitch,1,6.774680925,Older,875.4
Bilingual,37,coat,L2,low,nonswitch,1,6.760878083,Older,863.4
Bilingual,37,toy,L2,low,nonswitch,1,6.739454964,Older,845.1
Bilingual,37,suitcase,L2,low,nonswitch,1,6.80195022,Older,899.6
Bilingual,37,horse,L2,low,nonswitch,1,6.777190909,Older,877.6
Bilingual,37,suitcase,L2,low,nonswitch,1,6.608540291,Older,741.4
Bilingual,37,broom,L2,low,nonswitch,1,6.881513968,Older,974.1
Bilingual,37,strawberry,L2,low,nonswitch,1,6.398594935,Older,601
Bilingual,37,toy,L2,low,nonswitch,1,6.953970703,Older,1047.3
Bilingual,37,present,L2,low,nonswitch,1,6.819033349,Older,915.1
Bilingual,37,ladder,L2,low,nonswitch,1,6.715868117,Older,825.4
Bilingual,37,pen,L2,low,nonswitch,1,6.7682633,Older,869.8
Bilingual,37,cup,L2,low,nonswitch,1,7.048994391,Older,1151.7
Bilingual,37,plane,L2,low,nonswitch,1,6.765961273,Older,867.8
Bilingual,37,candle,L2,low,nonswitch,1,6.827954209,Older,923.3
Bilingual,37,eye,L2,low,nonswitch,1,6.908255154,Older,1000.5
Bilingual,37,teeth,L2,low,nonswitch,1,6.820452951,Older,916.4
Bilingual,39,knife,L2,low,nonswitch,1,6.621006105,Younger,750.7
Bilingual,39,plane,L2,low,nonswitch,1,6.713684975,Younger,823.6
Bilingual,39,cake,L2,low,nonswitch,1,6.518704712,Younger,677.7
Bilingual,39,newspaper,L2,low,nonswitch,1,6.643008178,Younger,767.4
Bilingual,39,teeth,L2,low,nonswitch,1,6.890507386,Younger,982.9
Bilingual,39,pen,L2,low,nonswitch,1,6.81003219,Younger,906.9
Bilingual,39,soap,L2,low,nonswitch,1,6.680980141,Younger,797.1
Bilingual,39,cup,L2,low,nonswitch,1,7.314153285,Younger,1501.4
Bilingual,39,horse,L2,low,nonswitch,1,6.475740836,Younger,649.2
Bilingual,39,knife,L2,low,nonswitch,1,7.065869522,Younger,1171.3
Bilingual,39,trophy,L2,low,nonswitch,1,7.028910401,Younger,1128.8
Bilingual,39,strawberry,L2,low,nonswitch,1,6.573959458,Younger,716.2
Bilingual,39,eye,L2,low,nonswitch,1,6.697898072,Younger,810.7
Bilingual,39,broom,L2,low,nonswitch,1,6.565828192,Younger,710.4
